step,epoch,train_loss,train_acc
49,0,0.6809216141700745,0.75
99,0,0.6935967803001404,0.375
149,0,0.6973792314529419,0.5625
199,0,0.7118239998817444,0.3125
249,0,0.656556248664856,0.6875
299,0,0.6477512121200562,0.6875
349,0,0.7150180339813232,0.375
399,0,0.7097904086112976,0.5
449,0,0.689237117767334,0.5
499,0,0.5908620953559875,0.75
549,0,0.6617100834846497,0.625
